"","date","frequency","y","m","d","date2","dow"
"292","06102010",10,2010,10,6,2010-10-06,"Wednesday"
"293","06102011",44,2011,10,6,2011-10-06,"Thursday"
"294","06102012",70,2012,10,6,2012-10-06,"Saturday"
"295","06102013",55,2013,10,6,2013-10-06,"Sunday"
"296","06112010",3,2010,11,6,2010-11-06,"Saturday"
"297","06112011",38,2011,11,6,2011-11-06,"Sunday"
"298","06112012",53,2012,11,6,2012-11-06,"Tuesday"
"299","06112013",31,2013,11,6,2013-11-06,"Wednesday"
"300","06122010",25,2010,12,6,2010-12-06,"Monday"
"301","06122011",50,2011,12,6,2011-12-06,"Tuesday"
"302","06122012",66,2012,12,6,2012-12-06,"Thursday"
"303","06122013",40,2013,12,6,2013-12-06,"Friday"
"304","07012011",35,2011,1,7,2011-01-07,"Friday"
"305","07012012",39,2012,1,7,2012-01-07,"Saturday"
"306","07012013",47,2013,1,7,2013-01-07,"Monday"
"307","07012014",31,2014,1,7,2014-01-07,"Tuesday"
"308","07022011",29,2011,2,7,2011-02-07,"Monday"
"309","07022012",38,2012,2,7,2012-02-07,"Tuesday"
"310","07022013",47,2013,2,7,2013-02-07,"Thursday"
"311","07022014",54,2014,2,7,2014-02-07,"Friday"
"312","07032011",36,2011,3,7,2011-03-07,"Monday"
"313","07032012",82,2012,3,7,2012-03-07,"Wednesday"
"314","07032013",66,2013,3,7,2013-03-07,"Thursday"
"315","07032014",47,2014,3,7,2014-03-07,"Friday"
"316","07042011",41,2011,4,7,2011-04-07,"Thursday"
"317","07042012",58,2012,4,7,2012-04-07,"Saturday"
"318","07042013",74,2013,4,7,2013-04-07,"Sunday"
"319","07042014",51,2014,4,7,2014-04-07,"Monday"
"320","07052010",6,2010,5,7,2010-05-07,"Friday"
"321","07052011",26,2011,5,7,2011-05-07,"Saturday"
"322","07052012",61,2012,5,7,2012-05-07,"Monday"
"323","07052013",74,2013,5,7,2013-05-07,"Tuesday"
"324","07062010",3,2010,6,7,2010-06-07,"Monday"
"325","07062011",47,2011,6,7,2011-06-07,"Tuesday"
"326","07062012",69,2012,6,7,2012-06-07,"Thursday"
"327","07062013",67,2013,6,7,2013-06-07,"Friday"
"328","07072010",7,2010,7,7,2010-07-07,"Wednesday"
"329","07072011",55,2011,7,7,2011-07-07,"Thursday"
"330","07072012",37,2012,7,7,2012-07-07,"Saturday"
"331","07072013",80,2013,7,7,2013-07-07,"Sunday"
"332","07082010",1,2010,8,7,2010-08-07,"Saturday"
"333","07082011",32,2011,8,7,2011-08-07,"Sunday"
"334","07082012",72,2012,8,7,2012-08-07,"Tuesday"
"335","07082013",70,2013,8,7,2013-08-07,"Wednesday"
"336","07092010",14,2010,9,7,2010-09-07,"Tuesday"
"337","07092011",47,2011,9,7,2011-09-07,"Wednesday"
"338","07092012",69,2012,9,7,2012-09-07,"Friday"
"339","07092013",90,2013,9,7,2013-09-07,"Saturday"
"340","07102010",5,2010,10,7,2010-10-07,"Thursday"
"341","07102011",35,2011,10,7,2011-10-07,"Friday"
"342","07102012",36,2012,10,7,2012-10-07,"Sunday"
"343","07102013",54,2013,10,7,2013-10-07,"Monday"
"344","07112010",5,2010,11,7,2010-11-07,"Sunday"
"345","07112011",36,2011,11,7,2011-11-07,"Monday"
"346","07112012",77,2012,11,7,2012-11-07,"Wednesday"
"347","07112013",52,2013,11,7,2013-11-07,"Thursday"
"348","07122010",21,2010,12,7,2010-12-07,"Tuesday"
"349","07122011",41,2011,12,7,2011-12-07,"Wednesday"
"350","07122012",46,2012,12,7,2012-12-07,"Friday"
"351","07122013",42,2013,12,7,2013-12-07,"Saturday"
"352","08012010",1,2010,1,8,2010-01-08,"Friday"
"353","08012011",25,2011,1,8,2011-01-08,"Saturday"
"354","08012012",26,2012,1,8,2012-01-08,"Sunday"
"355","08012013",52,2013,1,8,2013-01-08,"Tuesday"
"356","08012014",38,2014,1,8,2014-01-08,"Wednesday"
"357","08022011",22,2011,2,8,2011-02-08,"Tuesday"
"358","08022012",35,2012,2,8,2012-02-08,"Wednesday"
"359","08022013",42,2013,2,8,2013-02-08,"Friday"
"360","08022014",36,2014,2,8,2014-02-08,"Saturday"
"361","08032011",41,2011,3,8,2011-03-08,"Tuesday"
"362","08032012",44,2012,3,8,2012-03-08,"Thursday"
"363","08032013",87,2013,3,8,2013-03-08,"Friday"
"364","08032014",49,2014,3,8,2014-03-08,"Saturday"
"365","08042010",1,2010,4,8,2010-04-08,"Thursday"
"366","08042011",46,2011,4,8,2011-04-08,"Friday"
"367","08042012",42,2012,4,8,2012-04-08,"Sunday"
"368","08042013",64,2013,4,8,2013-04-08,"Monday"
"369","08042014",63,2014,4,8,2014-04-08,"Tuesday"
"370","08052011",31,2011,5,8,2011-05-08,"Sunday"
"371","08052012",66,2012,5,8,2012-05-08,"Tuesday"
"372","08052013",76,2013,5,8,2013-05-08,"Wednesday"
"373","08052014",1,2014,5,8,2014-05-08,"Thursday"
"374","08062010",4,2010,6,8,2010-06-08,"Tuesday"
"375","08062011",38,2011,6,8,2011-06-08,"Wednesday"
"376","08062012",65,2012,6,8,2012-06-08,"Friday"
"377","08062013",86,2013,6,8,2013-06-08,"Saturday"
"378","08072009",1,2009,7,8,2009-07-08,"Wednesday"
"379","08072010",8,2010,7,8,2010-07-08,"Thursday"
"380","08072011",37,2011,7,8,2011-07-08,"Friday"
"381","08072012",93,2012,7,8,2012-07-08,"Sunday"
